puerto,provincia,latitud,longitud,fuente,registros,registros_sin_coordenadas,nota
Mar del Plata,Buenos Aires,-38.049150,-57.536848,dataset,1373,0,
General Lavalle,Buenos Aires,-36.398453,-56.946467,dataset,259,0,
otros puertos Buenos Aires,Buenos Aires,,,,216,216,Agrupa varios puertos de la provincia: no tiene una ubicación única.
Necochea / Quequén,Buenos Aires,-38.576184,-58.701949,dataset,180,0,
San Antonio Oeste,Río Negro,-40.725698,-64.934194,dataset,170,0,
Puerto Madryn,Chubut,-42.723398,-65.033620,dataset,132,0,
San Antonio Este,Río Negro,-40.798750,-64.883536,dataset,122,0,
Ushuaia,Tierra del Fuego,-54.808106,-68.304301,dataset,105,0,
Puerto Deseado,Santa Cruz,-47.753106,-65.911745,dataset,77,0,
San Clemente del Tuyú,Buenos Aires,-36.342328,-56.746143,dataset,73,0,
Caleta Olivia / Paula,Santa Cruz,-46.436049,-67.514904,dataset,73,0,
Comodoro Rivadavia,Chubut,-45.862528,-67.466640,dataset,66,0,
Río Salado,Buenos Aires,-35.745949,-57.380561,dataset,61,0,
Rawson,Chubut,-43.336741,-65.061964,dataset,61,0,
Rosales,Buenos Aires,-38.899770,-62.079012,dataset,27,0,
Camarones,Chubut,-44.798941,-65.709705,dataset,20,0,
Caleta Cordova,Chubut,-45.748762,-67.377537,dataset,13,0,
Bahía Blanca,Buenos Aires,-38.789246,-62.272499,dataset,10,0,
Punta Colorada,Río Negro,-41.697354,-65.027413,dataset,1,0,
San Julián,Santa Cruz,-49.300594,-67.721019,dataset,1,0,
